Infinitive,запороши́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запороши́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запорошённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запороши́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запороши́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запорошу́
2nd Sing,запороши́шь
3rd Sing,запороши́т
1st Pl,запороши́м
2nd Pl,запороши́те
3rd Pl,запороша́т
Past M,запороши́л
Past F,запороши́ла
Past N,запороши́ло
Past PL,запороши́ли
Imp S,запороши́
Imp PL,запороши́те
