Infinitive,зашурша́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зашурша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашурша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,зашурша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зашуршу́
2nd Sing,зашурши́шь
3rd Sing,зашурши́т
1st Pl,зашурши́м
2nd Pl,зашурши́те
3rd Pl,зашурша́т
Past M,зашурша́л
Past F,зашурша́ла
Past N,зашурша́ло
Past PL,зашурша́ли
Imp S,зашурши́
Imp PL,зашурши́те
