Infinitive,заключа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заключа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заключа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заключа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заключа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заключа́юсь
2nd Sing,заключа́ешься
3rd Sing,заключа́ется
1st Pl,заключа́емся
2nd Pl,заключа́етесь
3rd Pl,заключа́ются
Past M,заключа́лся
Past F,заключа́лась
Past N,заключа́лось
Past PL,заключа́лись
Imp S,заключа́йся
Imp PL,заключа́йтесь
