Infinitive,заплета́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заплета́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заплета́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплета́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заплета́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заплета́юсь
2nd Sing,заплета́ешься
3rd Sing,заплета́ется
1st Pl,заплета́емся
2nd Pl,заплета́етесь
3rd Pl,заплета́ются
Past M,заплета́лся
Past F,заплета́лась
Past N,заплета́лось
Past PL,заплета́лись
Imp S,заплета́йся
Imp PL,заплета́йтесь
