Infinitive,залете́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,залете́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,залете́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,залете́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,залечу́
2nd Sing,залети́шь
3rd Sing,залети́т
1st Pl,залети́м
2nd Pl,залети́те
3rd Pl,залетя́т
Past M,залете́л
Past F,залете́ла
Past N,залете́ло
Past PL,залете́ли
Imp S,залети́
Imp PL,залети́те
