Infinitive,забры́згать
Zaliznyak Class,6a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забры́згавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,забры́згав
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,забры́згавши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,забры́зжу
2nd Sing,забры́зжешь
3rd Sing,забры́зжет
1st Pl,забры́зжем
2nd Pl,забры́зжете
3rd Pl,забры́зжут
Past M,забры́згал
Past F,забры́згала
Past N,забры́згало
Past PL,забры́згали
Imp S,забры́зжи
Imp PL,забры́зжите
