Infinitive,заклейми́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заклейми́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заклеймённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заклейми́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заклейми́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заклеймлю́
2nd Sing,заклейми́шь
3rd Sing,заклейми́т
1st Pl,заклейми́м
2nd Pl,заклейми́те
3rd Pl,заклеймя́т
Past M,заклейми́л
Past F,заклейми́ла
Past N,заклейми́ло
Past PL,заклейми́ли
Imp S,заклейми́
Imp PL,заклейми́те
