Infinitive,заблуди́ться
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заблуди́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заблуди́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,заблужу́сь
2nd Sing,заблу́дишься
3rd Sing,заблу́дится
1st Pl,заблу́димся
2nd Pl,заблу́дитесь
3rd Pl,заблу́дятся
Past M,заблуди́лся
Past F,заблуди́лась
Past N,заблуди́лось
Past PL,заблуди́лись
Imp S,заблуди́сь
Imp PL,заблуди́тесь
