Infinitive,задрожа́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,задрожа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задрожа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,задрожа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,задрожу́
2nd Sing,задрожи́шь
3rd Sing,задрожи́т
1st Pl,задрожи́м
2nd Pl,задрожи́те
3rd Pl,задрожа́т
Past M,задрожа́л
Past F,задрожа́ла
Past N,задрожа́ло
Past PL,задрожа́ли
Imp S,задрожи́
Imp PL,задрожи́те
