Infinitive,загоре́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загоре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загоре́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загоре́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загорю́
2nd Sing,загори́шь
3rd Sing,загори́т
1st Pl,загори́м
2nd Pl,загори́те
3rd Pl,загоря́т
Past M,загоре́л
Past F,загоре́ла
Past N,загоре́ло
Past PL,загоре́ли
Imp S,загори́
Imp PL,загори́те
