Infinitive,забреда́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,забреда́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,забреда́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забреда́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,забреда́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,забреда́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,забреда́ю
2nd Sing,забреда́ешь
3rd Sing,забреда́ет
1st Pl,забреда́ем
2nd Pl,забреда́ете
3rd Pl,забреда́ют
Past M,забреда́л
Past F,забреда́ла
Past N,забреда́ло
Past PL,забреда́ли
Imp S,забреда́й
Imp PL,забреда́йте
