Infinitive,зарва́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зарва́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зарва́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зарву́сь
2nd Sing,зарвёшься
3rd Sing,зарвётся
1st Pl,зарвёмся
2nd Pl,зарвётесь
3rd Pl,зарву́тся
Past M,зарва́лся
Past F,зарвала́сь
Past N,зарвало́сь
Past PL,зарвали́сь
Imp S,зарви́сь
Imp PL,зарви́тесь
