Infinitive,закле́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,закле́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,закле́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,закле́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,закле́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,закле́ю
2nd Sing,закле́ишь
3rd Sing,закле́ит
1st Pl,закле́им
2nd Pl,закле́ите
3rd Pl,закле́ят
Past M,закле́ил
Past F,закле́ила
Past N,закле́ило
Past PL,закле́или
Imp S,закле́й
Imp PL,закле́йте
