Infinitive,загора́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загора́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,загора́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загора́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,загора́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,загора́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,загора́ю
2nd Sing,загора́ешь
3rd Sing,загора́ет
1st Pl,загора́ем
2nd Pl,загора́ете
3rd Pl,загора́ют
Past M,загора́л
Past F,загора́ла
Past N,загора́ло
Past PL,загора́ли
Imp S,загора́й
Imp PL,загора́йте
