Infinitive,зашевели́ть
Zaliznyak Class,4b // 4c⑦
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зашевели́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашевелённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зашевели́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зашевели́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашевелю́
2nd Sing,зашевели́шь
3rd Sing,зашевели́т
1st Pl,зашевели́м
2nd Pl,зашевели́те
3rd Pl,зашевеля́т
Past M,зашевели́л
Past F,зашевели́ла
Past N,зашевели́ло
Past PL,зашевели́ли
Imp S,зашевели́
Imp PL,зашевели́те
