Infinitive,запляса́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,запляса́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запляса́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,запляса́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,запляшу́
2nd Sing,запля́шешь
3rd Sing,запля́шет
1st Pl,запля́шем
2nd Pl,запля́шете
3rd Pl,запля́шут
Past M,запляса́л
Past F,запляса́ла
Past N,запляса́ло
Past PL,запляса́ли
Imp S,запляши́
Imp PL,запляши́те
