Infinitive,забо́титься
Zaliznyak Class,4a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,забо́тящийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,забо́тившийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,забо́тясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,забо́тившись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,забо́чусь
2nd Sing,забо́тишься
3rd Sing,забо́тится
1st Pl,забо́тимся
2nd Pl,забо́титесь
3rd Pl,забо́тятся
Past M,забо́тился
Past F,забо́тилась
Past N,забо́тилось
Past PL,забо́тились
Imp S,забо́ться
Imp PL,забо́тьтесь
