Infinitive,завяза́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,завяза́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,завя́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,завяза́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,завяза́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,завяжу́
2nd Sing,завя́жешь
3rd Sing,завя́жет
1st Pl,завя́жем
2nd Pl,завя́жете
3rd Pl,завя́жут
Past M,завяза́л
Past F,завяза́ла
Past N,завяза́ло
Past PL,завяза́ли
Imp S,завяжи́
Imp PL,завяжи́те
