Infinitive,засия́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,засия́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засия́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,засия́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,засия́ю
2nd Sing,засия́ешь
3rd Sing,засия́ет
1st Pl,засия́ем
2nd Pl,засия́ете
3rd Pl,засия́ют
Past M,засия́л
Past F,засия́ла
Past N,засия́ло
Past PL,засия́ли
Imp S,засия́й
Imp PL,засия́йте
