Infinitive,зачи́слить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зачи́сливший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зачи́сленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зачи́слив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зачи́сливши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зачи́слю
2nd Sing,зачи́слишь
3rd Sing,зачи́слит
1st Pl,зачи́слим
2nd Pl,зачи́слите
3rd Pl,зачи́слят
Past M,зачи́слил
Past F,зачи́слила
Past N,зачи́слило
Past PL,зачи́слили
Imp S,зачи́сли
Imp PL,зачи́слите
