Infinitive,затемни́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затемни́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затемнённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затемни́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затемни́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затемню́
2nd Sing,затемни́шь
3rd Sing,затемни́т
1st Pl,затемни́м
2nd Pl,затемни́те
3rd Pl,затемня́т
Past M,затемни́л
Past F,затемни́ла
Past N,затемни́ло
Past PL,затемни́ли
Imp S,затемни́
Imp PL,затемни́те
