Infinitive,замя́ть
Zaliznyak Class,14b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замя́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,замя́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замя́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замя́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замну́
2nd Sing,замнёшь
3rd Sing,замнёт
1st Pl,замнём
2nd Pl,замнёте
3rd Pl,замну́т
Past M,замя́л
Past F,замя́ла
Past N,замя́ло
Past PL,замя́ли
Imp S,замни́
Imp PL,замни́те
