Infinitive,заплати́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заплати́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запла́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заплати́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заплати́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заплачу́
2nd Sing,запла́тишь
3rd Sing,запла́тит
1st Pl,запла́тим
2nd Pl,запла́тите
3rd Pl,запла́тят
Past M,заплати́л
Past F,заплати́ла
Past N,заплати́ло
Past PL,заплати́ли
Imp S,заплати́
Imp PL,заплати́те
