Infinitive,заколо́ть
Zaliznyak Class,10c
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зако́лющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заколо́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зако́лотый
PART:2:Participle Type,passive
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
PART:3:Participle Text,заколя́
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,заколо́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,заколо́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,заколю́
2nd Sing,зако́лешь
3rd Sing,зако́лет
1st Pl,зако́лем
2nd Pl,зако́лете
3rd Pl,зако́лют
Past M,заколо́л
Past F,заколо́ла
Past N,заколо́ло
Past PL,заколо́ли
Imp S,заколи́
Imp PL,заколи́те
