Infinitive,затяну́ть
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,затяну́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затя́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,затяну́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,затяну́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,затяну́
2nd Sing,затя́нешь
3rd Sing,затя́нет
1st Pl,затя́нем
2nd Pl,затя́нете
3rd Pl,затя́нут
Past M,затяну́л
Past F,затяну́ла
Past N,затяну́ло
Past PL,затяну́ли
Imp S,затяни́
Imp PL,затяни́те
