Infinitive,зашто́рить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зашто́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зашто́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зашто́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зашто́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зашто́рю
2nd Sing,зашто́ришь
3rd Sing,зашто́рит
1st Pl,зашто́рим
2nd Pl,зашто́рите
3rd Pl,зашто́рят
Past M,зашто́рил
Past F,зашто́рила
Past N,зашто́рило
Past PL,зашто́рили
Imp S,зашто́рь
Imp PL,зашто́рьте
