Infinitive,замани́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,замани́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зама́ненный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замани́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,замани́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заманю́
2nd Sing,зама́нишь
3rd Sing,зама́нит
1st Pl,зама́ним
2nd Pl,зама́ните
3rd Pl,зама́нят
Past M,замани́л
Past F,замани́ла
Past N,замани́ло
Past PL,замани́ли
Imp S,замани́
Imp PL,замани́те
