Infinitive,заче́сться
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зачтя́сь
PART:0:Participle Type,adverbial
PART:0:Participle Tense,past
PART:0:Participle Long or Short,short
PART:1:Participle Text,зачётшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,зачту́сь
2nd Sing,зачтёшься
3rd Sing,зачтётся
1st Pl,зачтёмся
2nd Pl,зачтётесь
3rd Pl,зачту́тся
Past M,зачёлся
Past F,зачла́сь
Past N,зачло́сь
Past PL,зачли́сь
Imp S,зачти́сь
Imp PL,зачти́тесь
