Infinitive,затяну́ться
Zaliznyak Class,3c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затяну́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затяну́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затяну́сь
2nd Sing,затя́нешься
3rd Sing,затя́нется
1st Pl,затя́немся
2nd Pl,затя́нетесь
3rd Pl,затя́нутся
Past M,затяну́лся
Past F,затяну́лась
Past N,затяну́лось
Past PL,затяну́лись
Imp S,затяни́сь
Imp PL,затяни́тесь
