Infinitive,зайти́
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заше́дший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зайдя́
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заше́дши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,зайду́
2nd Sing,зайдёшь
3rd Sing,зайдёт
1st Pl,зайдём
2nd Pl,зайдёте
3rd Pl,зайду́т
Past M,зашёл
Past F,зашла́
Past N,зашло́
Past PL,зашли́
Imp S,зайди́
Imp PL,зайди́те
