Infinitive,загна́ть
Zaliznyak Class,5c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загна́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,за́гнанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загна́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загна́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загоню́
2nd Sing,заго́нишь
3rd Sing,заго́нит
1st Pl,заго́ним
2nd Pl,заго́ните
3rd Pl,заго́нят
Past M,загна́л
Past F,загнала́
Past N,загна́ло
Past PL,загна́ли
Imp S,загони́
Imp PL,загони́те
