Infinitive,застро́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застро́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застро́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застро́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застро́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застро́ю
2nd Sing,застро́ишь
3rd Sing,застро́ит
1st Pl,застро́им
2nd Pl,застро́ите
3rd Pl,застро́ят
Past M,застро́ил
Past F,застро́ила
Past N,застро́ило
Past PL,застро́или
Imp S,застро́й
Imp PL,застро́йте
