Infinitive,заки́нуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заки́нувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заки́нутый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заки́нув
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заки́нувши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заки́ну
2nd Sing,заки́нешь
3rd Sing,заки́нет
1st Pl,заки́нем
2nd Pl,заки́нете
3rd Pl,заки́нут
Past M,заки́нул
Past F,заки́нула
Past N,заки́нуло
Past PL,заки́нули
Imp S,заки́нь
Imp PL,заки́ньте
