Infinitive,заслы́шать
Zaliznyak Class,5a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заслы́шавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заслы́шанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заслы́шав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заслы́шавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заслы́шу
2nd Sing,заслы́шишь
3rd Sing,заслы́шит
1st Pl,заслы́шим
2nd Pl,заслы́шите
3rd Pl,заслы́шат
Past M,заслы́шал
Past F,заслы́шала
Past N,заслы́шало
Past PL,заслы́шали
Imp S,—
Imp PL,—
