Infinitive,зажива́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,зажива́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажива́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажива́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зажива́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,зажива́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,зажива́ю
2nd Sing,зажива́ешь
3rd Sing,зажива́ет
1st Pl,зажива́ем
2nd Pl,зажива́ете
3rd Pl,зажива́ют
Past M,зажива́л
Past F,зажива́ла
Past N,зажива́ло
Past PL,зажива́ли
Imp S,зажива́й
Imp PL,зажива́йте
