Infinitive,затрепета́ть
Zaliznyak Class,6c(-щ-)
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,затрепета́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затрепета́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,затрепета́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,затрепещу́
2nd Sing,затрепе́щешь
3rd Sing,затрепе́щет
1st Pl,затрепе́щем
2nd Pl,затрепе́щете
3rd Pl,затрепе́щут
Past M,затрепета́л
Past F,затрепета́ла
Past N,затрепета́ло
Past PL,затрепета́ли
Imp S,затрепещи́
Imp PL,затрепещи́те
