Infinitive,заме́тить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заме́тивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заме́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заме́тив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заме́тивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заме́чу
2nd Sing,заме́тишь
3rd Sing,заме́тит
1st Pl,заме́тим
2nd Pl,заме́тите
3rd Pl,заме́тят
Past M,заме́тил
Past F,заме́тила
Past N,заме́тило
Past PL,заме́тили
Imp S,заме́ть
Imp PL,заме́тьте
