Infinitive,заморо́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заморо́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заморо́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заморо́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заморо́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заморо́жу
2nd Sing,заморо́зишь
3rd Sing,заморо́зит
1st Pl,заморо́зим
2nd Pl,заморо́зите
3rd Pl,заморо́зят
Past M,заморо́зил
Past F,заморо́зила
Past N,заморо́зило
Past PL,заморо́зили
Imp S,заморо́зь
Imp PL,заморо́зьте
