Infinitive,загуля́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,загуля́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загуля́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,загуля́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,загуля́ю
2nd Sing,загуля́ешь
3rd Sing,загуля́ет
1st Pl,загуля́ем
2nd Pl,загуля́ете
3rd Pl,загуля́ют
Past M,загуля́л
Past F,загуля́ла
Past N,загуля́ло
Past PL,загуля́ли
Imp S,загуля́й
Imp PL,загуля́йте
