Infinitive,зага́дить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зага́дивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зага́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зага́див
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зага́дивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зага́жу
2nd Sing,зага́дишь
3rd Sing,зага́дит
1st Pl,зага́дим
2nd Pl,зага́дите
3rd Pl,зага́дят
Past M,зага́дил
Past F,зага́дила
Past N,зага́дило
Past PL,зага́дили
Imp S,зага́дь
Imp PL,зага́дьте
