Infinitive,залюбова́ться
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,залюбова́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,залюбова́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,залюбу́юсь
2nd Sing,залюбу́ешься
3rd Sing,залюбу́ется
1st Pl,залюбу́емся
2nd Pl,залюбу́етесь
3rd Pl,залюбу́ются
Past M,залюбова́лся
Past F,залюбова́лась
Past N,залюбова́лось
Past PL,залюбова́лись
Imp S,залюбу́йся
Imp PL,залюбу́йтесь
