Infinitive,заката́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заката́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́танный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заката́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,заката́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заката́ю
2nd Sing,заката́ешь
3rd Sing,заката́ет
1st Pl,заката́ем
2nd Pl,заката́ете
3rd Pl,заката́ют
Past M,заката́л
Past F,заката́ла
Past N,заката́ло
Past PL,заката́ли
Imp S,заката́й
Imp PL,заката́йте
