Infinitive,засту́кать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засту́кавший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засту́канный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засту́кав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засту́кавши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засту́каю
2nd Sing,засту́каешь
3rd Sing,засту́кает
1st Pl,засту́каем
2nd Pl,засту́каете
3rd Pl,засту́кают
Past M,засту́кал
Past F,засту́кала
Past N,засту́кало
Past PL,засту́кали
Imp S,засту́кай
Imp PL,засту́кайте
