Infinitive,занима́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,занима́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,занима́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,занима́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,занима́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,занима́юсь
2nd Sing,занима́ешься
3rd Sing,занима́ется
1st Pl,занима́емся
2nd Pl,занима́етесь
3rd Pl,занима́ются
Past M,занима́лся
Past F,занима́лась
Past N,занима́лось
Past PL,занима́лись
Imp S,занима́йся
Imp PL,занима́йтесь
