Infinitive,застрахова́ть
Zaliznyak Class,2a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,застрахова́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,застрахо́ванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,застрахова́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,застрахова́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,застраху́ю
2nd Sing,застраху́ешь
3rd Sing,застраху́ет
1st Pl,застраху́ем
2nd Pl,застраху́ете
3rd Pl,застраху́ют
Past M,застрахова́л
Past F,застрахова́ла
Past N,застрахова́ло
Past PL,застрахова́ли
Imp S,застраху́й
Imp PL,застраху́йте
