Infinitive,задыша́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,задыша́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задыша́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,задыша́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,задышу́
2nd Sing,зады́шишь
3rd Sing,зады́шит
1st Pl,зады́шим
2nd Pl,зады́шите
3rd Pl,зады́шат
Past M,задыша́л
Past F,задыша́ла
Past N,задыша́ло
Past PL,задыша́ли
Imp S,задыши́
Imp PL,задыши́те
