Infinitive,заглуша́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,заглуша́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заглуша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заглуша́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заглуша́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,заглуша́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,заглуша́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,заглуша́ю
2nd Sing,заглуша́ешь
3rd Sing,заглуша́ет
1st Pl,заглуша́ем
2nd Pl,заглуша́ете
3rd Pl,заглуша́ют
Past M,заглуша́л
Past F,заглуша́ла
Past N,заглуша́ло
Past PL,заглуша́ли
Imp S,заглуша́й
Imp PL,заглуша́йте
