Infinitive,зани́зить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зани́зивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зани́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зани́зив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зани́зивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зани́жу
2nd Sing,зани́зишь
3rd Sing,зани́зит
1st Pl,зани́зим
2nd Pl,зани́зите
3rd Pl,зани́зят
Past M,зани́зил
Past F,зани́зила
Past N,зани́зило
Past PL,зани́зили
Imp S,зани́зь
Imp PL,зани́зьте
