Infinitive,заскочи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заскочи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заскочи́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заскочи́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заскочу́
2nd Sing,заско́чишь
3rd Sing,заско́чит
1st Pl,заско́чим
2nd Pl,заско́чите
3rd Pl,заско́чат
Past M,заскочи́л
Past F,заскочи́ла
Past N,заскочи́ло
Past PL,заскочи́ли
Imp S,заскочи́
Imp PL,заскочи́те
