Infinitive,запу́тываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,запу́тывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,запу́тывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запу́тываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,запу́тывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запу́тываюсь
2nd Sing,запу́тываешься
3rd Sing,запу́тывается
1st Pl,запу́тываемся
2nd Pl,запу́тываетесь
3rd Pl,запу́тываются
Past M,запу́тывался
Past F,запу́тывалась
Past N,запу́тывалось
Past PL,запу́тывались
Imp S,запу́тывайся
Imp PL,запу́тывайтесь
