Infinitive,загрязня́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загрязня́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,загрязня́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загрязня́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,загрязня́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,загрязня́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,загрязня́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,загрязня́ю
2nd Sing,загрязня́ешь
3rd Sing,загрязня́ет
1st Pl,загрязня́ем
2nd Pl,загрязня́ете
3rd Pl,загрязня́ют
Past M,загрязня́л
Past F,загрязня́ла
Past N,загрязня́ло
Past PL,загрязня́ли
Imp S,загрязня́й
Imp PL,загрязня́йте
