Infinitive,задолжа́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,задолжа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задолжа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,задолжа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,задолжа́ю
2nd Sing,задолжа́ешь
3rd Sing,задолжа́ет
1st Pl,задолжа́ем
2nd Pl,задолжа́ете
3rd Pl,задолжа́ют
Past M,задолжа́л
Past F,задолжа́ла
Past N,задолжа́ло
Past PL,задолжа́ли
Imp S,задолжа́й
Imp PL,задолжа́йте
