Infinitive,запра́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,запра́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,запра́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,запра́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,запра́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,запра́влю
2nd Sing,запра́вишь
3rd Sing,запра́вит
1st Pl,запра́вим
2nd Pl,запра́вите
3rd Pl,запра́вят
Past M,запра́вил
Past F,запра́вила
Past N,запра́вило
Past PL,запра́вили
Imp S,запра́вь
Imp PL,запра́вьте
