Infinitive,заявля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,заявля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,заявля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,заявля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,заявля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,заявля́юсь
2nd Sing,заявля́ешься
3rd Sing,заявля́ется
1st Pl,заявля́емся
2nd Pl,заявля́етесь
3rd Pl,заявля́ются
Past M,заявля́лся
Past F,заявля́лась
Past N,заявля́лось
Past PL,заявля́лись
Imp S,заявля́йся
Imp PL,заявля́йтесь
