Infinitive,загороди́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загороди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,загоро́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загороди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загороди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загорожу́
2nd Sing,загоро́дишь
3rd Sing,загоро́дит
1st Pl,загоро́дим
2nd Pl,загоро́дите
3rd Pl,загоро́дят
Past M,загороди́л
Past F,загороди́ла
Past N,загороди́ло
Past PL,загороди́ли
Imp S,загороди́
Imp PL,загороди́те
