Infinitive,затеса́ться
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,затеса́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,затеса́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,затешу́сь
2nd Sing,зате́шешься
3rd Sing,зате́шется
1st Pl,зате́шемся
2nd Pl,зате́шетесь
3rd Pl,зате́шутся
Past M,затеса́лся
Past F,затеса́лась
Past N,затеса́лось
Past PL,затеса́лись
Imp S,затеши́сь
Imp PL,затеши́тесь
