Infinitive,замедля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,замедля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,замедля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,замедля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,замедля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,замедля́юсь
2nd Sing,замедля́ешься
3rd Sing,замедля́ется
1st Pl,замедля́емся
2nd Pl,замедля́етесь
3rd Pl,замедля́ются
Past M,замедля́лся
Past F,замедля́лась
Past N,замедля́лось
Past PL,замедля́лись
Imp S,замедля́йся
Imp PL,замедля́йтесь
