Infinitive,загада́ть
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,загада́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зага́данный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,загада́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,загада́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,загада́ю
2nd Sing,загада́ешь
3rd Sing,загада́ет
1st Pl,загада́ем
2nd Pl,загада́ете
3rd Pl,загада́ют
Past M,загада́л
Past F,загада́ла
Past N,загада́ло
Past PL,загада́ли
Imp S,загада́й
Imp PL,загада́йте
