Infinitive,защити́ть
Zaliznyak Class,4b(-щ-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,защити́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,защищённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,защити́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,защити́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,защищу́
2nd Sing,защити́шь
3rd Sing,защити́т
1st Pl,защити́м
2nd Pl,защити́те
3rd Pl,защитя́т
Past M,защити́л
Past F,защити́ла
Past N,защити́ло
Past PL,защити́ли
Imp S,защити́
Imp PL,защити́те
