Infinitive,зажига́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,зажига́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,зажига́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зажига́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,зажига́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зажига́юсь
2nd Sing,зажига́ешься
3rd Sing,зажига́ется
1st Pl,зажига́емся
2nd Pl,зажига́етесь
3rd Pl,зажига́ются
Past M,зажига́лся
Past F,зажига́лась
Past N,зажига́лось
Past PL,зажига́лись
Imp S,зажига́йся
Imp PL,зажига́йтесь
