Infinitive,заржа́ть
Zaliznyak Class,6b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,заржа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,заржа́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,заржа́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,заржу́
2nd Sing,заржёшь
3rd Sing,заржёт
1st Pl,заржём
2nd Pl,заржёте
3rd Pl,заржу́т
Past M,заржа́л
Past F,заржа́ла
Past N,заржа́ло
Past PL,заржа́ли
Imp S,заржи́
Imp PL,заржи́те
