Infinitive,задержа́ться
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,задержа́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,задержа́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,задержу́сь
2nd Sing,заде́ржишься
3rd Sing,заде́ржится
1st Pl,заде́ржимся
2nd Pl,заде́ржитесь
3rd Pl,заде́ржатся
Past M,задержа́лся
Past F,задержа́лась
Past N,задержа́лось
Past PL,задержа́лись
Imp S,задержи́сь
Imp PL,задержи́тесь
