Infinitive,засня́ть
Zaliznyak Class,14c/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,засня́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,засня́тый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,засня́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,засня́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,засниму́
2nd Sing,засни́мешь
3rd Sing,засни́мет
1st Pl,засни́мем
2nd Pl,засни́мете
3rd Pl,засни́мут
Past M,засня́л
Past F,засняла́
Past N,засня́ло
Past PL,засня́ли
Imp S,засними́
Imp PL,засними́те
