Infinitive,зака́пать
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,зака́павший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,зака́панный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,зака́пав
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,зака́павши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,зака́паю
2nd Sing,зака́паешь
3rd Sing,зака́пает
1st Pl,зака́паем
2nd Pl,зака́паете
3rd Pl,зака́пают
Past M,зака́пал
Past F,зака́пала
Past N,зака́пало
Past PL,зака́пали
Imp S,зака́пай
Imp PL,зака́пайте
